domain,dimension,group,indicator,date,populationTotal,GNIperCap,value
social,health,Middle-40,under5death,2008,2955942444,11621.247297116653,15.99517612258353
social,health,Middle-40,under5death,2009,2981024091,11630.725189742872,16.114095671023545
social,health,Middle-40,under5death,2010,3006436061,12302.342501699068,16.231145219755266
social,health,Middle-40,under5death,2011,3031818549,12869.064810164246,16.36213213233428
social,health,Middle-40,under5death,2012,3058599742,13418.780155524284,16.30928993912143
social,health,Middle-40,under5death,2013,3087056858,13858.936902267154,16.447263051997858
social,health,Middle-40,under5death,2014,3115874201,14317.047425141602,13.503432066190788
social,health,Middle-40,under5death,2015,3143671521,14682.35031361053,13.586176836444357
social,health,Middle-40,under5death,2016,3169140069,15090.746063579063,12.065356648015042
social,health,Middle-40,under5death,2017,3193178974,15681.633581815418,12.106414114199913
social,health,Middle-40,under5death,2018,3214995105,16205.265939374285,3.8625372961493203
social,health,Middle-40,under5death,2019,3233967613,16672.718839130957,3.934294718615662
social,health,Middle-40,under5death,2020,3249703015,16353.946617090254,3.979904268267419
social,health,Middle-40,under5death,2021,3261155656,17377.02988724466,2.691079827438939
social,health,Middle-40,under5death,2022,3270491108,17872.515797620435,2.7102529275551235
social,health,Top-20,under5death,2000,918773008,42884.48116386297,0
social,health,Top-20,under5death,2001,925201610,43211.60746647441,0
social,health,Top-20,under5death,2002,931786689,43434.57774070831,0
social,health,Top-20,under5death,2003,938616267,44150.09180789237,0
social,health,Top-20,under5death,2004,945675138,45367.89551820015,0
social,health,Top-20,under5death,2005,953227225,46333.85317750791,0
social,health,Top-20,under5death,2006,961602384,47336.50813464364,0
social,health,Top-20,under5death,2007,970962476,48096.38377034041,0
social,health,Top-20,under5death,2008,980544352,47771.22661658624,0
social,health,Top-20,under5death,2009,989389351,45891.19565832546,0
social,health,Top-20,under5death,2010,997130107,47088.21962921867,0
social,health,Top-20,under5death,2011,1004367658,47896.26480699086,0
social,health,Top-20,under5death,2012,1011590115,48229.01241060337,0
social,health,Top-20,under5death,2013,1018506801,48641.51652091816,0
social,health,Top-20,under5death,2014,1025059897,49324.63198058534,0
social,health,Top-20,under5death,2015,1031509508,50124.058180348926,0
social,health,Top-20,under5death,2016,1037963149,50731.97590244021,0
social,health,Top-20,under5death,2017,1044207105,51666.69831359288,0
social,health,Top-20,under5death,2018,1050101995,52510.257839583974,0
social,health,Top-20,under5death,2019,1055623799,53140.25987785476,0
social,health,Top-20,under5death,2020,1058780261,50463.92472529489,0
social,health,Top-20,under5death,2021,1060393296,53180.50108580106,0
social,health,Top-20,under5death,2022,1062959927,54448.4207495699,0
social,health,World,UHCindex,2000,6077209486,11007.767931513734,79.0527272437684
social,health,World,UHCindex,2001,6158256967,11132.480905750974,79.17547648836201
