domain,dimension,group,indicator,date,populationTotal,GNIperCap,value
social,water,World,sanitation,2010,6057241396,14784.79375539475,43.8340677534108
social,water,World,sanitation,2011,6127527177,15186.432389837946,45.14157805635623
social,water,World,sanitation,2012,6199589650,15507.122255672495,46.483508865252766
social,water,World,sanitation,2013,6273500093,15800.10581172948,47.84748203818302
social,water,World,sanitation,2014,6347198489,16155.19441664527,49.24802542638562
social,water,World,sanitation,2015,6419580785,16488.692841459277,50.66770139516257
social,water,World,sanitation,2016,6491362414,16792.457662516023,52.098756479488834
social,water,World,sanitation,2017,6562508271,17255.224307859957,53.52023806376334
social,water,World,sanitation,2018,6630395543,17675.191375031754,54.9333127534244
social,water,World,sanitation,2019,6694794119,18001.57314011174,56.32548198207591
social,water,World,sanitation,2020,6754127868,17253.742228800053,57.21746552232013
social,water,World,sanitation,2021,6806191402,18187.63309757008,58.05144815277588
social,water,World,sanitation,2022,6855197810,18651.182858371114,58.83209590721093
social,water,Bottom-40,sanitation,2000,2025716919,2486.8632270620433,14.131579001802887
social,water,Bottom-40,sanitation,2001,2066826178,2566.962759679945,14.997475045898462
social,water,Bottom-40,sanitation,2002,2108355137,2633.2290368417125,15.910673706830114
social,water,Bottom-40,sanitation,2003,2149827294,2753.753591352539,16.825430961150865
social,water,Bottom-40,sanitation,2004,2191364325,2904.468903073545,18.242968828651687
social,water,Bottom-40,sanitation,2005,2232660965,3054.663111628475,19.52017127811405
social,water,Bottom-40,sanitation,2006,2273323951,3234.6572448519933,20.80042706523053
social,water,Bottom-40,sanitation,2007,2313898410,3410.4207119574808,22.134207178145644
social,water,Bottom-40,sanitation,2008,2354405948,3494.3648541500766,23.47561309615026
social,water,Bottom-40,sanitation,2009,2395212515,3653.9866407856007,24.809102729290377
social,water,Bottom-40,sanitation,2010,2437185085,3856.5562005249703,26.138138928681617
social,water,Bottom-40,sanitation,2011,2479945134,3992.9738159877643,27.475560968799172
social,water,Bottom-40,sanitation,2012,2523111583,4135.440946776579,28.81039251733114
social,water,Bottom-40,sanitation,2013,2566756006,4319.93701987026,30.14175204401174
social,water,Bottom-40,sanitation,2014,2610395060,4541.527542291532,31.495115042207548
social,water,Bottom-40,sanitation,2015,2654080404,4759.986748302866,32.84820365746776
social,water,Bottom-40,sanitation,2016,2699103202,4965.370691619974,34.203449753293455
social,water,Bottom-40,sanitation,2017,2744639872,5198.870825564547,35.51042155194276
social,water,Bottom-40,sanitation,2018,2789234139,5426.52687378534,36.770017002242575
social,water,Bottom-40,sanitation,2019,2833251965,5588.548589423963,38.01430307847975
social,water,Bottom-40,sanitation,2020,2877270629,5281.435276961947,39.24526785390695
social,water,Bottom-40,sanitation,2021,2919388351,5524.204243343167,40.435661363931054
social,water,Bottom-40,sanitation,2022,2959734990,5799.136966265341,41.55383408854624
social,water,Middle-40,sanitation,2000,2430214080,7789.552898021705,27.79870364077802
social,water,Middle-40,sanitation,2001,2449633983,7992.08088723415,28.11318746828706
social,water,Middle-40,sanitation,2002,2468326997,8244.744065299968,28.640448377901826
social,water,Middle-40,sanitation,2003,2486611321,8608.639900163098,29.924282990016323
social,water,Middle-40,sanitation,2004,2504878737,9194.604428333312,31.36395151259027
social,water,Middle-40,sanitation,2005,2523261598,9737.77386694342,32.871138556048095
social,water,Middle-40,sanitation,2006,2541391775,10481.609044046008,34.449175508177355
social,water,Middle-40,sanitation,2007,2559588050,11326.000188380662,36.08222213490821
social,water,Middle-40,sanitation,2008,2578816022,11904.107433399238,37.77670127195918
social,water,Middle-40,sanitation,2009,2599133237,11889.650094575858,39.57358306714548
social,water,Middle-40,sanitation,2010,2619727412,12592.006020681398,41.435961885078314
social,water,Middle-40,sanitation,2011,2640308451,13186.847001527176,43.34597873114333
social,water,Middle-40,sanitation,2012,2662262640,13783.606920015462,45.33551038984222
social,water,Middle-40,sanitation,2013,2685841709,14248.027865162061,47.384127920582
social,water,Middle-40,sanitation,2014,2709496951,14721.699607335542,49.48971116826512
social,water,Middle-40,sanitation,2015,2731890650,15110.805635637353,51.64500579841216
social,water,Middle-40,sanitation,2016,2752378242,15517.172597643135,53.8324663402702
social,water,Middle-40,sanitation,2017,2771876668,16146.060775853603,56.052345244201916
social,water,Middle-40,sanitation,2018,2789329956,16719.893389721994,58.302657936533706
social,water,Middle-40,sanitation,2019,2804189898,17228.992750958587,60.52561761069291
social,water,Middle-40,sanitation,2020,2816295528,16920.565146767476,61.609241826592
social,water,Middle-40,sanitation,2021,2824620223,18050.298245749153,62.60656402035706
social,water,Middle-40,sanitation,2022,2830782884,18565.407746309567,63.52788220115607
social,water,Top-20,sanitation,2000,922252574,42852.47101455112,92.17289575473401
social,water,Top-20,sanitation,2001,928706263,43176.925201236496,92.26095616941222
