domain,dimension,indicator,indCode,intercept,slope,stdErrorIntercept,stdErrorSlope,pValIntercept,pValSlope,adjr2,lmPval
social,income and work,societalPoverty,IW1,85.5990068281117,-0.6105747755928894,0.20599643295748937,0.015409735426609021,0,0,0.9916736826641115,1.5483327332368352e-23
social,income and work,youthNEET,IW2,24.280891761787338,-0.13211710163842924,0.6828055118448879,0.044995885029685635,5.722384659217555e-277,0.0033225564668026178,0.4241176621386512,0.0020392876518345866
social,water,drinkingH2O,WA1,39.62209484175373,-0.14583318194543263,0.09678659578219387,0.006885375610933436,0,1.4561591677194499e-99,0.9800074474420531,1.5362454585756133e-19
social,water,sanitation,WA2,68.06147821624968,-1.2421938234700804,0.47304456005511736,0.0321160806667357,0,0,0.9945994191389057,1.641255214654554e-25
social,energy,energyAccess,EN1,22.228745259097657,-0.6448031381370487,0.18802994778284088,0.01469881215442206,0,0,0.9938730858513253,6.176296863563743e-25
social,energy,energyIndoor,EN2,52.79312549102441,-1.16009584139205,0.9017164541113566,0.06528036053882419,0,1.1860515388275003e-70,0.9796945003812747,1.8086226284277475e-19
social,connectivity,publicTrans,CO1,52.70890540313151,NA,0,NA,0,NA,0,NA
social,connectivity,internet,CO2,96.726989827206907,-2.603816543887132,1.3813679188293404,0.12764875678826343,0,1.731607235526206e-92,0.9853505546145548,5.853822710611235e-21
social,housing,urbanSlums,HO1,39.93557886123754,-0.39333434458855293,0.17301309654526464,0.018761832697100942,0,1.3807244194590586e-97,0.9826820796505745,3.3965235169322497e-20
social,equality,genderGapIndex,EQ1,46.091241255172825,-0.527501072880919,0.10464329221942405,0.009130532121810767,0,0,0.9950293730294197,6.867310978694212e-26
social,social cohesion,socialSupport,SC1,22.201381207555304,0.07610191520363953,0.912463435652814,0.053565840207304344,9.155996300499852e-131,0.15539896471200704,0.053546826014940097,0.1804162557726936
social,social cohesion,palma,SC2,70.7590306730558,-0.22002867441673607,0.535001390902098,0.03638586314197971,0,1.4748323511830805e-9,0.4528780413534066,2.600399663833478e-4
social,political voice,govRegimes,PV1,42.52738221075145,1.0311241247015344,2.4605808616454703,0.26215951098244267,6.265913411312967e-67,8.382465129892536e-5,0.5828058476296878,1.3664578827066196e-5
social,peace and justice,controlCorruption,PJ1,84.46723021255721,-0.4547689902106103,1.1086153058031123,0.0634092795487848,0,7.393006678651435e-13,0.8068677261420037,2.5565102917626276e-7
social,peace and justice,homicideOver5,PJ2,29.770016143485677,-0.5288932146024596,0.785892321754915,0.051858289594118895,0,2.0070181734024516e-24,0.6844804761957672,6.812418423577249e-7
