domain,dimension,type,group,indicator,date,populationTotal,GNIperCap,value,_join_code,indCode,date_grp,dimension_grp,domain_grp,group_grp,indicator_grp,type_grp,value_grp
ecological,climate change,national aggregate,Middle-40,co2_footprint,2018,3204775631.0,16182.731813295552,,co2,,,,,,,,
ecological,climate change,national aggregate,Middle-40,co2_footprint,2019,3223588538.0,16658.463829057677,,co2,,,,,,,,
ecological,climate change,national aggregate,Middle-40,co2_footprint,2020,3239195616.0,16354.337717044236,,co2,,,,,,,,
ecological,climate change,national aggregate,Middle-40,co2_footprint,2021,3250518847.0,17372.882830322826,,co2,,,,,,,,
ecological,climate change,national aggregate,Middle-40,co2_footprint,2022,3259729582.0,17870.61550369402,,co2,,,,,,,,
ecological,climate change,national aggregate,Top-20,co2_footprint,2000,882928357.0,42845.74812313115,,co2,,,,,,,,
ecological,climate change,national aggregate,Top-20,co2_footprint,2001,888563821.0,43228.12926867091,,co2,,,,,,,,
ecological,climate change,national aggregate,Top-20,co2_footprint,2002,894345080.0,43512.80232598735,,co2,,,,,,,,
ecological,climate change,national aggregate,Top-20,co2_footprint,2003,900364136.0,44148.9439955994,,co2,,,,,,,,
ecological,climate change,national aggregate,Top-20,co2_footprint,2004,906618214.0,45316.16435010109,,co2,,,,,,,,
ecological,climate change,national aggregate,Top-20,co2_footprint,2005,913027082.0,46264.555313249664,,co2,,,,,,,,
ecological,climate change,national aggregate,Top-20,co2_footprint,2006,919807202.0,47259.08733723497,,co2,,,,,,,,
ecological,climate change,national aggregate,Top-20,co2_footprint,2007,927447810.0,48043.76664473402,,co2,,,,,,,,
ecological,climate change,national aggregate,Top-20,co2_footprint,2008,935297662.0,47686.64337970848,,co2,,,,,,,,
ecological,climate change,national aggregate,Top-20,co2_footprint,2009,942445871.0,45832.92643024211,,co2,,,,,,,,
ecological,climate change,national aggregate,Top-20,co2_footprint,2010,948583379.0,47017.053850969765,,co2,,,,,,,,
ecological,climate change,national aggregate,Top-20,co2_footprint,2011,954304639.0,47731.31144383859,,co2,,,,,,,,
ecological,climate change,national aggregate,Top-20,co2_footprint,2012,960023602.0,48015.08277201596,,co2,,,,,,,,
ecological,climate change,national aggregate,Top-20,co2_footprint,2013,965433228.0,48423.27741254011,,co2,,,,,,,,
ecological,climate change,national aggregate,Top-20,co2_footprint,2014,970642389.0,49093.73608424506,,co2,,,,,,,,
ecological,climate change,national aggregate,Top-20,co2_footprint,2015,975722368.0,49902.32373559204,,co2,,,,,,,,
ecological,climate change,national aggregate,Top-20,co2_footprint,2016,980787539.0,50528.75335375405,,co2,,,,,,,,
ecological,climate change,national aggregate,Top-20,co2_footprint,2017,985730708.0,51581.71583482991,11.650508840910334,co2,,,,,,,,
ecological,climate change,national aggregate,Top-20,co2_footprint,2018,990313036.0,52505.0164168369,,co2,,,,,,,,
ecological,climate change,national aggregate,Top-20,co2_footprint,2019,994672581.0,53206.96401762948,,co2,,,,,,,,
ecological,climate change,national aggregate,Top-20,co2_footprint,2020,997710552.0,50504.19156789593,,co2,,,,,,,,
ecological,climate change,national aggregate,Top-20,co2_footprint,2021,999483970.0,53240.46630285082,,co2,,,,,,,,
ecological,climate change,national aggregate,Top-20,co2_footprint,2022,1001405134.0,54430.57408254537,,co2,,,,,,,,
ecological,ocean acidification,global doughnut,World,omega_a,2000,,,2.986,,,,,,,,,
ecological,ocean acidification,global doughnut,World,omega_a,2001,,,2.985,,,,,,,,,
ecological,ocean acidification,global doughnut,World,omega_a,2002,,,2.97,,,,,,,,,
ecological,ocean acidification,global doughnut,World,omega_a,2003,,,2.976,,,,,,,,,
ecological,ocean acidification,global doughnut,World,omega_a,2004,,,2.962,,,,,,,,,
ecological,ocean acidification,global doughnut,World,omega_a,2005,,,2.951,,,,,,,,,
ecological,ocean acidification,global doughnut,World,omega_a,2006,,,2.936,,,,,,,,,
ecological,ocean acidification,global doughnut,World,omega_a,2007,,,2.917,,,,,,,,,
ecological,ocean acidification,global doughnut,World,omega_a,2008,,,2.913,,,,,,,,,
ecological,ocean acidification,global doughnut,World,omega_a,2009,,,2.917,,,,,,,,,
ecological,ocean acidification,global doughnut,World,omega_a,2010,,,2.907,,,,,,,,,
ecological,ocean acidification,global doughnut,World,omega_a,2011,,,2.881,,,,,,,,,
ecological,ocean acidification,global doughnut,World,omega_a,2012,,,2.88,,,,,,,,,
ecological,ocean acidification,global doughnut,World,omega_a,2013,,,2.882,,,,,,,,,
ecological,ocean acidification,global doughnut,World,omega_a,2014,,,2.882,,,,,,,,,
ecological,ocean acidification,global doughnut,World,omega_a,2015,,,2.879,,,,,,,,,
ecological,ocean acidification,global doughnut,World,omega_a,2016,,,2.859,,,,,,,,,
ecological,ocean acidification,global doughnut,World,omega_a,2017,,,2.841,,,,,,,,,
ecological,ocean acidification,global doughnut,World,omega_a,2018,,,2.826,,,,,,,,,
ecological,ocean acidification,global doughnut,World,omega_a,2019,,,2.829,,,,,,,,,
ecological,ocean acidification,global doughnut,World,omega_a,2020,,,2.821,,,,,,,,,
ecological,ocean acidification,global doughnut,World,omega_a,2021,,,2.803,,,,,,,,,
ecological,ocean acidification,global doughnut,World,omega_a,2022,,,2.786,,,,,,,,,
ecological,ocean acidification,national aggregate,World,omega_a_footprint,2000,6087113661.0,11033.593778486846,,,,,,,,,,
ecological,ocean acidification,national aggregate,World,omega_a_footprint,2001,6168321963.0,11157.924027657036,,,,,,,,,,
ecological,ocean acidification,national aggregate,World,omega_a_footprint,2002,6249366588.0,11289.939082169089,,,,,,,,,,
ecological,ocean acidification,national aggregate,World,omega_a_footprint,2003,6330239342.0,11559.495576669651,,,,,,,,,,
ecological,ocean acidification,national aggregate,World,omega_a_footprint,2004,6411455695.0,12000.204077563389,,,,,,,,,,
ecological,ocean acidification,national aggregate,World,omega_a_footprint,2005,6493271134.0,12388.84340932646,,,,,,,,,,
ecological,ocean acidification,national aggregate,World,omega_a_footprint,2006,6575894375.0,12881.718983200612,,,,,,,,,,
ecological,ocean acidification,national aggregate,World,omega_a_footprint,2007,6659804230.0,13384.936003439365,,,,,,,,,,
ecological,ocean acidification,national aggregate,World,omega_a_footprint,2008,6753659772.0,13554.87644970591,,,,,,,,,,
ecological,ocean acidification,national aggregate,World,omega_a_footprint,2009,6840172498.0,13303.153428987966,,,,,,,,,,
ecological,ocean acidification,national aggregate,World,omega_a_footprint,2010,6927291704.0,13796.6417931423,,,,,,,,,,
ecological,ocean acidification,national aggregate,World,omega_a_footprint,2011,7014617158.0,14181.534053313428,,,,,,,,,,
ecological,ocean acidification,national aggregate,World,omega_a_footprint,2012,7102957187.0,14457.278813069255,,,,,,,,,,
ecological,ocean acidification,national aggregate,World,omega_a_footprint,2013,7191631788.0,14719.598108524537,,,,,,,,,,
