"Social.Category","Source","gender.main","gender_norm.main","gender.ext","gender_norm.ext","gender.red","gender_norm.red","age.main","age_norm.main","age.ext","age_norm.ext","age.red","age_norm.red"
"occultist","GPT2",-0.26807737,0.357079615278034,-0.024424884,0.307186365203167,-0.16028526,0.400294642593844,-0.091067575,0.24643432502485,-0.004441132,0.321928898785922,-0.081558466,0.18592251462808
"occupant","GPT2",-0.2966764,0.283035653436398,-0.007538052,0.449581731900055,-0.20320565,0.26704909488491,-0.10051273,0.19610784768458,-0.019229477,0.223239809406371,-0.059755705,0.380883050983513
"oceanographer","GPT2",-0.19289622,0.551726433782379,0.008860191,0.587857154144421,-0.10981659,0.55697368433348,-0.07726489,0.319978963930974,-0.013371905,0.262329947393763,-0.057198737,0.403747487864863
"octogenarian","GPT2",-0.25385198,0.393909683792329,-0.014863489,0.387811218174926,-0.15522303,0.416010240913864,-0.08902491,0.257318226224593,-0.012713093,0.266726487801247,-0.06577817,0.327030100589669
"odd-job man","GPT2",-0.24759151,0.410118275544941,-0.01051118,0.424511330785341,-0.14989766,0.4325427524405,-0.07708927,0.320914717335815,-0.0021477388,0.337233713929013,-0.058077417,0.395890321330552
"oenologist","GPT2",-0.23753318,0.436159669351325,-0.0043447465,0.476508742700405,-0.15358725,0.421088489318208,-0.09030695,0.250487151773267,-0.022075083,0.204249836906204,-0.055733003,0.416854097931102
"oenophile","GPT2",-0.24409053,0.419182444138363,-0.0064757233,0.458539639741451,-0.15945014,0.402887257008641,-0.09276277,0.237401843000485,-0.021622354,0.207271095386832,-0.06030904,0.375935123132346
"offender","GPT2",-0.20891757,0.510246557435122,-0.001829589,0.497717384706965,-0.120958485,0.522383879772281,-0.07098183,0.353456898037673,-0.0006205095,0.347425582518147,-0.054706138,0.426036336417531
"officer","GPT2",-0.27140093,0.348474793722254,-0.013675512,0.397828634143917,-0.17724463,0.347644595740857,-0.092774704,0.237338255247761,-0.01699349,0.238161527887683,-0.059681952,0.381542551146718
"official emissary","GPT2",-0.20733462,0.514344874384935,-0.0105468705,0.424210376655218,-0.10670388,0.566637034289272,-0.050555903,0.462292057685079,0.018026413,0.471864645933023,-0.04291695,0.53145538933817
"official","GPT2",-0.15613021,0.646915013307951,0.005928117,0.56313293397024,-0.07941736,0.651347525094943,-0.07048251,0.35611741728437,-0.0011720294,0.3437450491856,-0.06563574,0.32830371126646
"offspring","GPT2",-0.2331021,0.447631901746523,-0.008604801,0.440586550623393,-0.1405375,0.461601194030692,-0.0770168,0.321300858146934,-0.0035821802,0.327661059549208,-0.056824096,0.40709753193959
"oil-industry analyst","GPT2",-0.19788304,0.538815369673173,-0.007914389,0.446408333531634,-0.09323127,0.608462499959991,-0.049515042,0.46783806169781,0.015702259,0.456354550527632,-0.04543878,0.508905156851687
"oil geologist","GPT2",-0.2021041,0.527886886938924,-0.0060922373,0.461773320848311,-0.100291654,0.586543669932692,-0.059927057,0.412359878760204,0.0066940314,0.39623871073841,-0.05566584,0.417454670239501
"oil painter","GPT2",-0.2089516,0.510158452488154,0.0023655845,0.533092478678976,-0.11753469,0.533012987290133,-0.07315645,0.341869902995908,-0.00405309,0.324518472644324,-0.05739073,0.40203068427946
"oil rigger","GPT2",-0.19800037,0.538511597900393,-0.0031563602,0.48652961002271,-0.10945976,0.558081456392144,-0.06695919,0.374890670252958,0.0029544877,0.371283101273792,-0.057455745,0.401449319411444
"oil tycoon","GPT2",-0.2061124,0.517509247828443,-0.003517793,0.483481888810568,-0.113894366,0.544314305037198,-0.065471835,0.38281572153104,0.0003384077,0.353824856085161,-0.048243217,0.483827849363199
"oiler","GPT2",-0.17058194,0.609498942040302,0.013586136,0.62770788939567,-0.08760044,0.625943306341431,-0.07503532,0.331858748231342,-0.011348031,0.275836143122829,-0.056952655,0.405947955902256
"old-age pensioner","GPT2",-0.13345674,0.705617477954391,0.009666509,0.594656294876342,-0.04371497,0.762184926853593,-0.024884079,0.599078851424237,0.027823983,0.537248112536785,-0.027810343,0.666538840614397
"old-timer","GPT2",-0.14562558,0.674111894561633,0.004364976,0.549952010757766,-0.048431918,0.747541250042302,-0.029418945,0.574915793116549,0.026541593,0.528690163602713,-0.033962283,0.611528123300822
"old bag","GPT2",-0.16512644,0.623623436256611,0.0069425,0.571686547771578,-0.08208509,0.643065607223517,-0.054114535,0.44333065231795,0.007202469,0.399631737054088,-0.04605371,0.503406445811326
"old boy","GPT2",-0.080660425,0.842309118658254,0.025316358,0.726621010763011,-0.008732828,0.870786332172178,-0.019744763,0.626462591576568,0.019353854,0.480723239879477,-0.019604623,0.739914482001399
"old catholic","GPT2",-0.15495951,0.649945999538183,-0.0014784092,0.500678649223456,-0.06133082,0.707496850123432,-0.044341836,0.495402377427467,0.0153992195,0.454332235501776,-0.048980076,0.477238847820764
"old codger","GPT2",-0.15513551,0.649490328933826,0.008036713,0.580913314602651,-0.07282608,0.671810030531239,-0.04569616,0.488186153226023,0.01272933,0.436514896002392,-0.0393645,0.563221437563707
"old geezer","GPT2",-0.18999673,0.559233322195035,-0.0019994113,0.496285386764319,-0.09373378,0.606902467067018,-0.057464402,0.425481606360693,0.007436063,0.40119061190753,-0.051864143,0.451449487968358
"old hand","GPT2",-0.1752136,0.597507400498388,0.0049873604,0.555200162386469,-0.0899451,0.618664353240324,-0.05925868,0.415921181877544,0.006766826,0.396724500918835,-0.05183544,0.45170615052018
"old lady","GPT2",-0.123059705,0.732535791715597,0.021614775,0.6954080355499,-0.038138695,0.779496368258265,-0.033776708,0.551696390060297,0.0156226475,0.455823268194203,-0.032404926,0.625454027273117
"old maid","GPT2",-0.16428451,0.625803224619829,0.017136708,0.657647489785116,-0.0773009,0.657918035565701,-0.060243554,0.410673492554921,0.0006682016,0.356025714915134,-0.048817463,0.478692935112661
"old man","GPT2",-0.06760832,0.876101508280316,0.025841083,0.731045665949373,0.0043578846,0.911426204509946,-0.007698876,0.690646510119878,0.027318511,0.533874876966012,-0.011356384,0.813670328769054
"old master","GPT2",-0.15229191,0.656852516039223,0.016505202,0.652322421800707,-0.08040406,0.648284333406228,-0.06077487,0.407842489502613,-0.0020173355,0.33810395214222,-0.046608597,0.498444639958542
"old person","GPT2",-0.09289908,0.810622781610706,0.02124611,0.692299330029332,-0.013159318,0.85704437678738,-0.016927667,0.641472881826898,0.026041888,0.525355413743387,-0.020696662,0.730149456867149
"old salt","GPT2",-0.17950073,0.586407860054879,-0.005974277,0.462768001210748,-0.09125128,0.614609341869121,-0.06251358,0.398578147158173,0.008002184,0.404968584761736,-0.061973017,0.361055821909757
"old stager","GPT2",-0.18534207,0.571284411600018,-0.001305639,0.502135504836355,-0.09271497,0.610065343649951,-0.06517953,0.384373205866548,-0.0016506272,0.340551156896703,-0.05548508,0.419071028211393
"old woman","GPT2",-0.06599083,0.880289250586234,0.029978963,0.765937642132219,0.011300096,0.93297816991157,-0.0063877814,0.697632395759431,0.028680624,0.542964852321743,-0.012726914,0.80141503395152
"oldster","GPT2",-0.19096868,0.556716907172848,0.012177188,0.615827172685938,-0.11155689,0.551570955544719,-0.07858408,0.312949943693349,-0.013406758,0.262097358092381,-0.056097493,0.413594824213604
"oldtimer","GPT2",-0.18124247,0.58189842983651,0.004729626,0.553026860467056,-0.09749973,0.595211145753431,-0.06977987,0.359861283429327,-0.0031284569,0.330688953428292,-0.05609535,0.41361398694393
"oligarch","GPT2",-0.2690536,0.354552119175241,-0.014386229,0.39183563274302,-0.17669894,0.349338680135927,-0.09873518,0.205579140616903,-0.021325856,0.209249756124248,-0.067032814,0.315811059699613
"olympian","GPT2",-0.24031775,0.428950313131014,-0.012497548,0.407761617176835,-0.15180641,0.42661707377846,-0.09234556,0.23962485676904,-0.01689112,0.238844687638134,-0.07003142,0.288997490809021
"omnivore","GPT2",-0.2492052,0.405940371581617,-0.023502681,0.314962686679805,-0.14157015,0.458395351426708,-0.084095106,0.283585626738186,-0.008112601,0.297427581546214,-0.070953496,0.280752276750101
"oncologist","GPT2",-0.235915,0.440349198093136,-0.007091186,0.45334985418222,-0.14701545,0.441490519458977,-0.09035621,0.25022468045609,-0.01576874,0.246334819910394,-0.06649671,0.320604907753183
"onlooker","GPT2",-0.2484121,0.407993737242501,-0.006807792,0.455739526356947,-0.15028895,0.431327999956587,-0.09122878,0.245575378847721,-0.0143862525,0.255560763209229,-0.066835925,0.317571643372593
"opera star","GPT2",-0.23374593,0.445965001716959,0.009941212,0.59697268165734,-0.1502822,0.431348955205294,-0.09412483,0.230144399186584,-0.023768123,0.192951441048983,-0.062308468,0.358056215259895
"operagoer","GPT2",-0.25160423,0.399729192888601,-0.002982899,0.487992292376729,-0.16473843,0.386469859648233,-0.0968752,0.215489644078557,-0.021077346,0.210908171964676,-0.06762196,0.310542909479939
"operating surgeon","GPT2",-0.21031466,0.50662943899966,0.006519806,0.568122251808276,-0.12355929,0.51430972931118,-0.07124269,0.352066961622761,-0.0040333923,0.324649924005235,-0.05105329,0.458700144698733
"operative","GPT2",-0.123936474,0.730265803874054,0.009365422,0.592117429459035,-0.043177545,0.763853352710802,-0.048794158,0.471679137073594,0.014893813,0.45095943704113,-0.059353985,0.384475235783626
"ophthalmologist","GPT2",-0.24512857,0.416494919626165,-0.011785215,0.413768245225559,-0.14351372,0.452361574726155,-0.087225854,0.266904109253286,-0.013618551,0.26068397083999,-0.07012699,0.288142902784161
"opium addict","GPT2",-0.2270671,0.463256743208428,-0.00063850754,0.507760978512041,-0.13574822,0.476469424182642,-0.07807091,0.315684259686755,-0.006931311,0.305310845994884,-0.0583345,0.393591482226282
"opponent","GPT2",-0.2936988,0.290744771570112,-0.018180603,0.359840213050615,-0.19247483,0.300362724799875,-0.09601472,0.220074526721749,-0.012697445,0.266830913744151,-0.06463994,0.337208166170255
"opportunist","GPT2",-0.31042245,0.247446614169219,-0.017316032,0.367130562393849,-0.20880784,0.249657200847612,-0.109863035,0.146286758172856,-0.023843683,0.192447196145748,-0.075522915,0.239892480182469
"oppressor","GPT2",-0.31325746,0.240106666896159,-0.022858705,0.32039290583897,-0.20847407,0.250693383567732,-0.10679944,0.162610465337775,-0.017869733,0.232313975389739,-0.0767344,0.22905936756033
"optician","GPT2",-0.2641018,0.36737251519033,-0.010706086,0.422867818767135,-0.16557479,0.383873395676637,-0.08520967,0.277646912138979,-0.006184828,0.310292453301673,-0.060695905,0.372475771910859
"optimist","GPT2",-0.25396758,0.393610391054467,-0.025759742,0.295930399939921,-0.1413762,0.458997465572878,-0.069613814,0.360746077116801,0.009310729,0.41370107744176,-0.06400796,0.342859338504159
"optometrist","GPT2",-0.24941719,0.405391521516744,-0.009882702,0.429810865669737,-0.14831614,0.437452551690056,-0.07794296,0.316366013747508,-0.0042439974,0.323244464128711,-0.05785722,0.397859325404112
"oracle","GPT2",-0.19884746,0.536318450103547,-0.0010866956,0.503981708181593,-0.11115501,0.552818584485492,-0.07031497,0.357010118146727,-0.0017882066,0.339633029431906,-0.057386078,0.402072282516267
"orator","GPT2",-0.2124169,0.501186660753616,0.0012402502,0.523603286727218,-0.13028991,0.493414645451954,-0.08333517,0.287634782298265,-0.015381739,0.24891744672083,-0.0599545,0.379105423836897
"organ-grinder","GPT2",-0.25686142,0.386118130703826,-0.018669624,0.355716625830852,-0.15317923,0.422355179774101,-0.081009656,0.300025783570926,-0.003310361,0.32947502786844,-0.065674365,0.327958326078009
"organ donor","GPT2",-0.23395956,0.445411905630545,0.003031862,0.538710751480789,-0.14980975,0.432815667390693,-0.08478389,0.279915589309649,-0.013280389,0.262940673658511,-0.05785457,0.397883021734193
"organization man","GPT2",-0.23533648,0.441847008081958,-0.003224655,0.485953725624174,-0.15015502,0.431743783135739,-0.07905141,0.310459876282551,-0.009109573,0.290774351667082,-0.053906213,0.433189274847858
"organizer","GPT2",-0.27394977,0.341875751317654,-0.007470317,0.450152895879374,-0.18559286,0.321727671902324,-0.10332582,0.181118902543803,-0.023318183,0.195954087313689,-0.07103622,0.280012557803062
"originator","GPT2",-0.32892644,0.1995390897015,-0.027329266,0.282695653154997,-0.22120063,0.21118401616332,-0.11257859,0.131817507305745,-0.022699067,0.200085718964175,-0.07551808,0.239935714807353
"ornamentalist","GPT2",-0.1992535,0.535267197306995,-0.0013068919,0.502124939968123,-0.11138429,0.55210678901535,-0.075160615,0.331191140767161,-0.0053352187,0.315962267479352,-0.0640525,0.342461061318564
"ornithologist","GPT2",-0.23249085,0.44921445093353,-0.002097251,0.495460369972595,-0.14329182,0.453050459124377,-0.09219036,0.240451806594978,-0.01934059,0.222498303795822,-0.06836183,0.303926983541325
"orphan","GPT2",-0.3005792,0.272931157784778,-0.019352527,0.349958161300418,-0.20485082,0.261941695401254,-0.11732267,0.106539697188237,-0.02927545,0.156198641019945,-0.086359836,0.142988609585462
"orthodontist","GPT2",-0.2347592,0.443341607664249,-0.01021629,0.42699794104387,-0.13685521,0.473032794439569,-0.07538909,0.32997376086071,-0.003873039,0.325720031657985,-0.056419827,0.410712509926639
"orthoepist","GPT2",-0.2848023,0.313778143909108,-0.0176682,0.364160965047294,-0.19631569,0.288438846792864,-0.11495001,0.119181905783667,-0.03362359,0.127181602460539,-0.07670818,0.229293827097966
"osteologer","GPT2",-0.26662317,0.360844593646534,-0.009578329,0.432377439728603,-0.17857403,0.343517498314104,-0.106666856,0.163316910671036,-0.0304408,0.148421751157796,-0.07216151,0.269950201849364
"osteologist","GPT2",-0.23494229,0.442867580783841,0.001501801,0.525808769796859,-0.15343343,0.421566020630216,-0.0954951,0.222843210153154,-0.025562618,0.180975991636208,-0.062080696,0.360092955069442
"osteopath","GPT2",-0.27544495,0.338004674191388,-0.0104008475,0.425441691008981,-0.18546139,0.322135818057503,-0.10965599,0.147389952932595,-0.03036697,0.14891445101494,-0.07424767,0.251295735448377
"outcast","GPT2",-0.2553533,0.390022709975662,-0.013967525,0.395366283703334,-0.16039856,0.399942904863702,-0.09247137,0.238954505238104,-0.010659004,0.280434321430673,-0.07319583,0.260701300668309
"outdoorsman","GPT2",-0.2762461,0.33593046677843,-0.0136379255,0.398145575974709,-0.17894644,0.342361358436943,-0.094771,0.226701421293372,-0.013473329,0.261653100714758,-0.06686596,0.317303070061652
"outdoorswoman","GPT2",-0.27678162,0.334543985403172,-0.009244804,0.435189833117581,-0.17195764,0.364057957275588,-0.092399046,0.239339868119619,-0.011261998,0.276410278932251,-0.067860216,0.308412421623382
"outfielder","GPT2",-0.17718561,0.592401792609193,0.0060465867,0.564131909762382,-0.09182354,0.61283277140618,-0.05961843,0.414004331362845,0.0012098062,0.359640079117333,-0.046512965,0.499299782388106
"outlaw","GPT2",-0.23054902,0.454241921670228,-0.007996814,0.445713298601459,-0.14080808,0.460761183483279,-0.086020276,0.273327772379929,-0.009673428,0.287011500821223,-0.07002188,0.289082797597314
"outlier","GPT2",-0.21883118,0.484579849139321,-0.0003762676,0.509972272638664,-0.13111293,0.490859595260765,-0.074020356,0.33726676564844,-0.0033100978,0.329476784317071,-0.054049388,0.431909002372611
"outpatient","GPT2",-0.18813895,0.564043184327777,-0.0041285413,0.47833185663532,-0.099569835,0.588784543512865,-0.06409414,0.390156473080306,0.005631243,0.38914625925725,-0.058746666,0.389905889175591
"outsider","GPT2",-0.19854438,0.53710313559655,0.005498101,0.559506896475135,-0.11580333,0.538387962016162,-0.06382828,0.391573050920022,-0.00061529595,0.347460374815861,-0.04250233,0.535162926084717
"overachiever","GPT2",-0.22542533,0.467507347345448,0.0010515909,0.52201244895467,-0.14154567,0.458471349128684,-0.078075886,0.31565774614079,-0.010182207,0.283616196194138,-0.050303552,0.465404310405363
"overlord","GPT2",-0.23656398,0.438668964520319,-0.0088834725,0.438236700134535,-0.1452641,0.446927552765991,-0.08308207,0.28898337122188,-0.0066511775,0.307180299271752,-0.063442715,0.347913765710522
"overseer","GPT2",-0.22480991,0.469100692818933,0.00018391595,0.51469592607584,-0.13755748,0.470852610364131,-0.08221692,0.293593136955839,-0.011087291,0.277576175098335,-0.05833248,0.393609545089211
"owner","GPT2",-0.22043282,0.48043314307817,0.0033855573,0.54169322752736,-0.13614538,0.475236448393557,-0.08520346,0.277680000788586,-0.015165426,0.250360997908672,-0.054833733,0.42489538047914
"pacifist","GPT2",-0.29983842,0.274849065002367,-0.035386525,0.214754173671053,-0.18659866,0.318605184620972,-0.09536472,0.223537911946361,-0.0050260527,0.318025467317272,-0.07947482,0.204554500812529
"paediatrician","GPT2",-0.23145244,0.451902933389613,-0.0118394215,0.41331115804397,-0.12794255,0.500701980652544,-0.07191001,0.348511290502625,0.0032390766,0.373182287382077,-0.063034855,0.351560854460333
"paedophile","GPT2",-0.25456724,0.392057848812372,-0.0137860775,0.39689630918702,-0.14625889,0.443839245823641,-0.077801846,0.317117909351486,-0.0008660159,0.345787211013232,-0.06510563,0.333043960903988
"pagan","GPT2",-0.2883462,0.304602853825124,-0.019066507,0.352369976777865,-0.17939599,0.340965738873082,-0.098481484,0.206930905198355,-0.013351877,0.26246360299093,-0.07701011,0.226593965610616
"painter","GPT2",-0.27837363,0.330422211773385,-0.016565716,0.373457475692834,-0.1769472,0.348567961610903,-0.09547739,0.222937574079812,-0.00984743,0.285850309428257,-0.07341836,0.258711434882266
"palaeontologist","GPT2",-0.2658672,0.362801828344125,-0.017884096,0.362340458389302,-0.15823829,0.40664942265977,-0.08622351,0.272244883714177,-0.004990562,0.318262312269459,-0.07115947,0.278910454903993
"panelist","GPT2",-0.23111689,0.452771684931045,-0.0022123156,0.494490107112704,-0.1397768,0.463962772947896,-0.08485906,0.279515062129135,-0.0079815835,0.298301918584455,-0.06448402,0.338602404580177
"panellist","GPT2",-0.2471877,0.411163754787813,-0.006694262,0.456696848960802,-0.14886509,0.435748346685982,-0.08502954,0.278606696108993,-0.013124587,0.263980408497231,-0.060567655,0.373622584866685
"panhandler","GPT2",-0.26781303,0.357764001457328,-0.013644456,0.39809050863335,-0.1730132,0.360780991005253,-0.09401712,0.230718308759727,-0.012491972,0.268202124874408,-0.068663165,0.301232442550729
"pansexual","GPT2",-0.25242844,0.397595282270321,-0.0010169,0.504570247823358,-0.16320542,0.391229060510417,-0.08785898,0.263530633509105,-0.013966108,0.258364571080416,-0.060672805,0.372682332373078
"pansy","GPT2",-0.25408947,0.393294813270575,-0.00922052,0.435394603857579,-0.15238185,0.424830631065017,-0.08270389,0.290998422028409,-0.007850368,0.299177576963231,-0.06227661,0.35834108985753
"pantheist","GPT2",-0.29383457,0.290393257945376,-0.026492162,0.289754391646824,-0.1779628,0.345415050412911,-0.09236792,0.239505716317313,-0.0061903354,0.310255700014483,-0.07801642,0.217595530167516
"papa","GPT2",-0.27961883,0.327198342247558,-0.014689377,0.389279388290335,-0.18091056,0.336263784645883,-0.10684661,0.162359130136167,-0.025458548,0.181670496229638,-0.07576466,0.237730793648307
"paperboy","GPT2",-0.2345489,0.443886082255705,-0.013529291,0.399061618099332,-0.13527016,0.477953552508077,-0.08217708,0.293805415828683,-0.0032857875,0.329639017573702,-0.06932324,0.295330044407906
"parachuter","GPT2",-0.283036,0.318351160889086,-0.02714628,0.284238651780813,-0.17448403,0.356214826789673,-0.096657805,0.216647986587641,-0.014427876,0.255282991402324,-0.07897631,0.209012182891352
"parachutist","GPT2",-0.28473744,0.313946068882964,-0.029307023,0.266018550353693,-0.1738692,0.358123555021124,-0.09607479,0.219754456644145,-0.0123370765,0.269235810242446,-0.080811225,0.192604352132365
"paragon","GPT2",-0.29446894,0.288750850210796,-0.032384533,0.240067965604385,-0.1892517,0.310368871579695,-0.1023822,0.186146778798648,-0.010617532,0.280711082211866,-0.08670053,0.139942119970084
"paralegal","GPT2",-0.25469518,0.391726607351454,-0.013996211,0.395124393839737,-0.15550974,0.415120155083245,-0.08756518,0.265096083630629,-0.0076158126,0.30074286765905,-0.07030142,0.286583147744123
