country,iso3c,population,GNIperCap,b40m40t20_ts,wldPop,popShare,cumPopShare
Brazil,BRA,197414656.4347826,13559.090152173912,2,7017547322.141546,2.813,26.985
China,CHN,1355082511.1304348,9926.541369565217,2,7017547322.141546,19.31,46.295
Colombia,COL,45406475.95652174,11949.314652173913,2,7017547322.141546,0.647,46.942
Dominica,DMA,69564.86956521739,11781.100369565218,2,7017547322.141546,0.001,46.943
Dominican Republic,DOM,9900610.47826087,12799.331152173912,2,7017547322.141546,0.141,47.083999999999996
Ecuador,ECU,15266097.347826088,10126.006960869565,2,7017547322.141546,0.218,47.302
Egypt,EGY,90278775.86956522,9877.775743478262,2,7017547322.141546,1.286,48.588
Fiji,FJI,896344.9130434783,10328.590217391304,2,7017547322.141546,0.013,48.601
Gabon,GAB,1799251.3043478262,12694.733543478262,2,7017547322.141546,0.026,48.626999999999995
Georgia,GEO,3876632.3913043477,10262.968443478261,2,7017547322.141546,0.055,48.682
Grenada,GRD,115585.86956521739,12013.354891304349,2,7017547322.141546,0.002,48.684
Guyana,GUY,764650.8260869565,11051.437413043479,2,7017547322.141546,0.011,48.695
Indonesia,IDN,246467166.82608697,8468.71045652174,2,7017547322.141546,3.512,52.207
"Iran, Islamic Republic of",IRN,76999633,13958.913217391304,2,7017547322.141546,1.097,53.304
Iraq,IRQ,33720162.652173914,8302.982039130435,2,7017547322.141546,0.481,53.785
Jamaica,JAM,2738983,9518.988934782608,2,7017547322.141546,0.039,53.824
Jordan,JOR,7820265.260869565,10354.151304347826,2,7017547322.141546,0.111,53.934999999999995
"Macedonia, the Former Yugoslav Republic of",MKD,2090696.8695652173,13214.046304347827,2,7017547322.141546,0.03,53.964999999999996
"Moldova, Republic of",MDA,3609245.347826087,9700.63156521739,2,7017547322.141546,0.051,54.016
Namibia,NAM,2162697.913043478,8837.136752173914,2,7017547322.141546,0.031,54.047
Nauru,NRU,11100.611111111111,8635.515622222223,2,7017547322.141546,0,54.047
Paraguay,PRY,5906507.739130435,10610.142373913044,2,7017547322.141546,0.084,54.131
Peru,PER,29907118.95652174,9457.479265217391,2,7017547322.141546,0.426,54.557
Saint Lucia,LCA,171139.91304347827,13190.052304347826,2,7017547322.141546,0.002,54.559
Saint Vincent and the Grenadines,VCT,108810.30434782608,11577.933565217392,2,7017547322.141546,0.002,54.561
Serbia,SRB,7629043.869565218,14140.469934782608,2,7017547322.141546,0.109,54.67
South Africa,ZAF,52914669.17391305,12699.707478260869,2,7017547322.141546,0.754,55.424
Sri Lanka,LKA,20596913.56521739,9761.837173913043,2,7017547322.141546,0.294,55.717999999999996
Thailand,THA,68253288.26086956,13747.029282608695,2,7017547322.141546,0.973,56.690999999999995
Tunisia,TUN,11088497.391304348,9517.6063,2,7017547322.141546,0.158,56.849
Turkmenistan,TKM,5425580.260869565,10620.962604347826,2,7017547322.141546,0.077,56.926
Ukraine,UKR,45618187.13043478,11394.842286956522,2,7017547322.141546,0.65,57.576
Angola,AGO,24921557.56521739,6043.557665217391,1,7017547322.141546,0.355,57.931
Bangladesh,BGD,150754720.3478261,4020.5707,1,7017547322.141546,2.148,60.079
Bhutan,BTN,705048.4782608695,7596.776586956522,1,7017547322.141546,0.01,60.089
Bolivia,BOL,10406010.391304348,6586.725143478261,1,7017547322.141546,0.148,60.237
Cameroon,CMR,20865659.217391305,3324.2621217391306,1,7017547322.141546,0.297,60.534
Cape Verde,CPV,527939.2608695652,6144.22282173913,1,7017547322.141546,0.008,60.542
Congo,COG,4524709.130434782,3756.6026869565217,1,7017547322.141546,0.064,60.606
Cote d'Ivoire,CIV,21930589.652173914,3447.9433826086956,1,7017547322.141546,0.313,60.919
Cuba,CUB,11267845.217391305,6882.76152173913,1,7017547322.141546,0.161,61.08
Djibouti,DJI,936394.9130434783,3168.0959217391305,1,7017547322.141546,0.013,61.092999999999996
El Salvador,SLV,6145736.782608695,7447.346460869565,1,7017547322.141546,0.088,61.181
Ghana,GHA,26362051.43478261,3944.8378173913043,1,7017547322.141546,0.376,61.557
Guatemala,GTM,14835752.652173912,7454.423465217391,1,7017547322.141546,0.211,61.768
Honduras,HND,8592792.826086957,4614.780291304348,1,7017547322.141546,0.122,61.89
India,IND,1252074574.9565217,4515.138069565218,1,7017547322.141546,17.842,79.732
Kenya,KEN,42455136.13043478,3728.6050999999998,1,7017547322.141546,0.605,80.337
Kyrgyzstan,KGZ,5653900.0869565215,4045.0784391304346,1,7017547322.141546,0.081,80.41799999999999
Lao People's Democratic Republic,LAO,6436044.695652174,5061.110939130434,1,7017547322.141546,0.092,80.50999999999999
Marshall Islands,MHL,50656.04347826087,5084.899004347826,1,7017547322.141546,0.001,80.511
Mauritania,MRT,3597384.2608695654,4829.42247826087,1,7017547322.141546,0.051,80.562
"Micronesia, Federated States of",FSM,110395.78260869565,3886.2237478260868,1,7017547322.141546,0.002,80.564
Mongolia,MNG,2827537.434782609,8050.0315,1,7017547322.141546,0.04,80.604
Morocco,MAR,32965221.56521739,6705.095382608695,1,7017547322.141546,0.47,81.074
Nicaragua,NIC,5976126.0869565215,4703.1720000000005,1,7017547322.141546,0.085,81.15899999999999
Nigeria,NGA,167359802.6956522,4302.355230434782,1,7017547322.141546,2.385,83.544
Pakistan,PAK,196172699.86956522,4199.870091304348,1,7017547322.141546,2.795,86.339
"Palestine, State of",PSE,4127949.3913043477,5902.328008695652,1,7017547322.141546,0.059,86.398
Papua New Guinea,PNG,7810621.130434782,3256.6693652173913,1,7017547322.141546,0.111,86.509
Philippines,PHL,96504403.56521739,6972.253721739131,1,7017547322.141546,1.375,87.884
Samoa,WSM,198712.86956521738,5312.924169565217,1,7017547322.141546,0.003,87.887
Sao Tome and Principe,STP,185168.5652173913,3343.0259782608696,1,7017547322.141546,0.003,87.89
Sudan,SDN,35246064.86956522,4288.356665217391,1,7017547322.141546,0.502,88.392
Swaziland,SWZ,1111263.1739130435,7032.376969565217,1,7017547322.141546,0.016,88.408
Syrian Arab Republic,SYR,19911456.086956523,5788.432917391305,1,7017547322.141546,0.284,88.692
Timor-Leste,TLS,1109096.2608695652,5728.797617391304,1,7017547322.141546,0.016,88.708
Tonga,TON,105795,5751.758621739131,1,7017547322.141546,0.002,88.71
Tuvalu,TUV,10477.478260869566,4818.575191304348,1,7017547322.141546,0,88.71
Uzbekistan,UZB,29312774.95652174,5208.180639130434,1,7017547322.141546,0.418,89.128
Viet Nam,VNM,88525865.04347827,6732.1896,1,7017547322.141546,1.261,90.389
Afghanistan,AFG,29863177.826086957,1792.6906582608697,1,7017547322.141546,0.426,90.815
Benin,BEN,9895556.56521739,2764.5761652173915,1,7017547322.141546,0.141,90.956
Burkina Faso,BFA,16876050.217391305,1670.2973391304347,1,7017547322.141546,0.24,91.196
Burundi,BDI,9400892.043478262,785.8025334782609,1,7017547322.141546,0.134,91.33
Cambodia,KHM,14528510.260869564,2855.0065260869565,1,7017547322.141546,0.207,91.53699999999999
Central African Republic,CAF,4641622.956521739,1002.7684308695652,1,7017547322.141546,0.066,91.603
Chad,TCD,12570137.304347826,1422.1513304347827,1,7017547322.141546,0.179,91.782
Comoros,COM,677202.695652174,3067.407443478261,1,7017547322.141546,0.01,91.792
Democratic Republic of the Congo,COD,70643888.86956522,851.4290304347826,1,7017547322.141546,1.007,92.79899999999999
Eritrea,ERI,3116553.7391304346,1665.7635173913043,1,7017547322.141546,0.044,92.843
Ethiopia,ETH,93055167,1412.746062173913,1,7017547322.141546,1.326,94.169
Gambia,GMB,2025587.4347826086,1978.2824173913043,1,7017547322.141546,0.029,94.198
Guinea,GIN,10726747.739130436,1988.7101347826087,1,7017547322.141546,0.153,94.351
Guinea-Bissau,GNB,1632496.1739130435,1719.5685434782608,1,7017547322.141546,0.023,94.374
Haiti,HTI,9984573.173913043,3021.673291304348,1,7017547322.141546,0.142,94.51599999999999
Kiribati,KIR,109518.39130434782,3053.4360782608696,1,7017547322.141546,0.002,94.518
Lesotho,LSO,2082536.2608695652,2846.9896782608694,1,7017547322.141546,0.03,94.548
Liberia,LBR,4097455.3913043477,1335.1390304347826,1,7017547322.141546,0.058,94.606
Madagascar,MDG,22535449.86956522,1488.1612608695652,1,7017547322.141546,0.321,94.92699999999999
Malawi,MWI,15376146.260869564,1273.2439043478262,1,7017547322.141546,0.219,95.146
Mali,MLI,16318550.130434783,1910.1265217391303,1,7017547322.141546,0.233,95.37899999999999
Mozambique,MOZ,24423080.173913043,1018.3577417391305,1,7017547322.141546,0.348,95.727
Myanmar,MMR,49921554.73913044,2876.8498,1,7017547322.141546,0.711,96.438
Nepal,NPL,27282108.913043477,2893.1110826086956,1,7017547322.141546,0.389,96.827
Niger,NER,17891412.695652176,1106.3858034782609,1,7017547322.141546,0.255,97.082
Rwanda,RWA,10672322.869565217,1529.8305952173912,1,7017547322.141546,0.152,97.234
Senegal,SEN,13108684.652173912,2913.574556521739,1,7017547322.141546,0.187,97.42099999999999
Sierra Leone,SLE,6645495.260869565,1418.8943739130434,1,7017547322.141546,0.095,97.51599999999999
Solomon Islands,SLB,563568.4347826086,2266.7709739130437,1,7017547322.141546,0.008,97.524
Somalia,SOM,12651444.43478261,899.3707239130434,1,7017547322.141546,0.18,97.704
South Sudan,SSD,10470719.4,842.4392506666667,1,7017547322.141546,0.149,97.853
Tajikistan,TJK,7929455.304347826,2989.1261391304347,1,7017547322.141546,0.113,97.966
Togo,TGO,6805683.956521739,1774.5776695652173,1,7017547322.141546,0.097,98.063
Uganda,UGA,34171651.82608695,1811.605352173913,1,7017547322.141546,0.487,98.55
United Republic of Tanzania,TZA,47905197.43478261,2010.5394130434781,1,7017547322.141546,0.683,99.23299999999999
Vanuatu,VUT,254353.65217391305,2892.9148043478262,1,7017547322.141546,0.004,99.237
Yemen,YEM,25736817.782608695,2590.1378304347827,1,7017547322.141546,0.367,99.604
Zambia,ZMB,14497879.43478261,2761.9647260869565,1,7017547322.141546,0.207,99.81099999999999
Zimbabwe,ZWE,13499752.086956521,1681.0343504347825,1,7017547322.141546,0.192,100.003
